filepath,label,split
ewaste-dataset\train\Battery\aug_19598_battery_161.jpg,Battery,train
ewaste-dataset\train\Battery\aug_19824_battery_12.jpg,Battery,train
ewaste-dataset\train\Battery\aug_19831_battery_175.jpg,Battery,train
ewaste-dataset\train\Battery\aug_19950_battery_232.jpg,Battery,train
ewaste-dataset\train\Battery\aug_20419_battery_142.jpg,Battery,train
ewaste-dataset\train\Battery\aug_21180_battery_276.jpg,Battery,train
ewaste-dataset\train\Battery\aug_21628_battery_131.jpg,Battery,train
ewaste-dataset\train\Battery\aug_22431_battery_11.jpg,Battery,train
ewaste-dataset\train\Battery\aug_23344_battery_257.jpg,Battery,train
ewaste-dataset\train\Battery\aug_24230_battery_36.jpg,Battery,train
ewaste-dataset\train\Battery\aug_24731_battery_3.jpg,Battery,train
ewaste-dataset\train\Battery\aug_25028_battery_186.jpg,Battery,train
ewaste-dataset\train\Battery\aug_25570_battery_64.jpg,Battery,train
ewaste-dataset\train\Battery\aug_25787_battery_93.jpg,Battery,train
ewaste-dataset\train\Battery\aug_26093_battery_131.jpg,Battery,train
ewaste-dataset\train\Battery\aug_26564_battery_55.jpg,Battery,train
ewaste-dataset\train\Battery\aug_26636_battery_293.jpg,Battery,train
ewaste-dataset\train\Battery\aug_27120_battery_142.jpg,Battery,train
ewaste-dataset\train\Battery\aug_27420_battery_217.jpg,Battery,train
ewaste-dataset\train\Battery\aug_27721_battery_104.jpg,Battery,train
ewaste-dataset\train\Battery\aug_27729_battery_220.jpg,Battery,train
ewaste-dataset\train\Battery\aug_28289_battery_155.jpg,Battery,train
ewaste-dataset\train\Battery\aug_28790_battery_236.jpg,Battery,train
ewaste-dataset\train\Battery\aug_28862_battery_139.jpg,Battery,train
ewaste-dataset\train\Battery\aug_28908_battery_14.jpg,Battery,train
ewaste-dataset\train\Battery\aug_29202_battery_87.jpg,Battery,train
ewaste-dataset\train\Battery\aug_29515_battery_196.jpg,Battery,train
ewaste-dataset\train\Battery\aug_29629_battery_217.jpg,Battery,train
ewaste-dataset\train\Battery\aug_29642_battery_246.jpg,Battery,train
ewaste-dataset\train\Battery\aug_29740_battery_171.jpg,Battery,train
ewaste-dataset\train\Battery\aug_30873_battery_210.jpg,Battery,train
ewaste-dataset\train\Battery\aug_31031_battery_162.jpg,Battery,train
ewaste-dataset\train\Battery\aug_31823_battery_143.jpg,Battery,train
ewaste-dataset\train\Battery\aug_32417_battery_223.jpg,Battery,train
ewaste-dataset\train\Battery\aug_32793_battery_149.jpg,Battery,train
ewaste-dataset\train\Battery\aug_33874_battery_51.jpg,Battery,train
ewaste-dataset\train\Battery\aug_34329_battery_117.jpg,Battery,train
ewaste-dataset\train\Battery\aug_34559_battery_71.jpg,Battery,train
ewaste-dataset\train\Battery\aug_34943_battery_291.jpg,Battery,train
ewaste-dataset\train\Battery\aug_35310_battery_36.jpg,Battery,train
ewaste-dataset\train\Battery\aug_36290_battery_276.jpg,Battery,train
ewaste-dataset\train\Battery\aug_36427_battery_76.jpg,Battery,train
ewaste-dataset\train\Battery\aug_36549_battery_69.jpg,Battery,train
ewaste-dataset\train\Battery\aug_37082_battery_184.jpg,Battery,train
ewaste-dataset\train\Battery\aug_37382_battery_27.jpg,Battery,train
ewaste-dataset\train\Battery\aug_37487_battery_100.jpg,Battery,train
ewaste-dataset\train\Battery\aug_38042_battery_206.jpg,Battery,train
ewaste-dataset\train\Battery\aug_38475_battery_252.jpg,Battery,train
ewaste-dataset\train\Battery\aug_38715_battery_197.jpg,Battery,train
ewaste-dataset\train\Battery\aug_39152_battery_184.jpg,Battery,train
ewaste-dataset\train\Battery\aug_39211_battery_33.jpg,Battery,train
ewaste-dataset\train\Battery\aug_39641_battery_281.jpg,Battery,train
ewaste-dataset\train\Battery\aug_40340_battery_219.jpg,Battery,train
ewaste-dataset\train\Battery\aug_40579_battery_253.jpg,Battery,train
ewaste-dataset\train\Battery\aug_40928_battery_54.jpg,Battery,train
ewaste-dataset\train\Battery\aug_40995_battery_28.jpg,Battery,train
ewaste-dataset\train\Battery\aug_41172_battery_14.jpg,Battery,train
ewaste-dataset\train\Battery\aug_41340_battery_199.jpg,Battery,train
ewaste-dataset\train\Battery\aug_41364_battery_255.jpg,Battery,train
ewaste-dataset\train\Battery\aug_41697_battery_14.jpg,Battery,train
ewaste-dataset\train\Battery\aug_42203_battery_114.jpg,Battery,train
ewaste-dataset\train\Battery\aug_42353_battery_50.jpg,Battery,train
ewaste-dataset\train\Battery\aug_42366_battery_298.jpg,Battery,train
ewaste-dataset\train\Battery\aug_42565_battery_81.jpg,Battery,train
ewaste-dataset\train\Battery\aug_42738_battery_199.jpg,Battery,train
ewaste-dataset\train\Battery\aug_43511_battery_200.jpg,Battery,train
ewaste-dataset\train\Battery\aug_43533_battery_271.jpg,Battery,train
ewaste-dataset\train\Battery\aug_44466_battery_119.jpg,Battery,train
ewaste-dataset\train\Battery\aug_44555_battery_39.jpg,Battery,train
ewaste-dataset\train\Battery\aug_44673_battery_74.jpg,Battery,train
ewaste-dataset\train\Battery\aug_44867_battery_86.jpg,Battery,train
ewaste-dataset\train\Battery\aug_45078_battery_235.jpg,Battery,train
ewaste-dataset\train\Battery\aug_46017_battery_17.jpg,Battery,train
ewaste-dataset\train\Battery\aug_47117_battery_69.jpg,Battery,train
ewaste-dataset\train\Battery\aug_47755_battery_245.jpg,Battery,train
ewaste-dataset\train\Battery\aug_47946_battery_164.jpg,Battery,train
ewaste-dataset\train\Battery\aug_48537_battery_30.jpg,Battery,train
ewaste-dataset\train\Battery\aug_48825_battery_137.jpg,Battery,train
ewaste-dataset\train\Battery\aug_49167_battery_269.jpg,Battery,train
ewaste-dataset\train\Battery\aug_49190_battery_125.jpg,Battery,train
ewaste-dataset\train\Battery\aug_49354_battery_134.jpg,Battery,train
ewaste-dataset\train\Battery\aug_49453_battery_116.jpg,Battery,train
ewaste-dataset\train\Battery\aug_49513_battery_173.jpg,Battery,train
ewaste-dataset\train\Battery\aug_49664_battery_2.jpg,Battery,train
ewaste-dataset\train\Battery\aug_49901_battery_240.jpg,Battery,train
ewaste-dataset\train\Battery\aug_51379_battery_210.jpg,Battery,train
ewaste-dataset\train\Battery\aug_51697_battery_43.jpg,Battery,train
ewaste-dataset\train\Battery\aug_51953_battery_89.jpg,Battery,train
ewaste-dataset\train\Battery\aug_52042_battery_158.jpg,Battery,train
ewaste-dataset\train\Battery\aug_52250_battery_292.jpg,Battery,train
ewaste-dataset\train\Battery\aug_52302_battery_202.jpg,Battery,train
ewaste-dataset\train\Battery\aug_52869_battery_253.jpg,Battery,train
ewaste-dataset\train\Battery\aug_53006_battery_237.jpg,Battery,train
ewaste-dataset\train\Battery\aug_53143_battery_188.jpg,Battery,train
ewaste-dataset\train\Battery\aug_53194_battery_176.jpg,Battery,train
ewaste-dataset\train\Battery\aug_53365_battery_9.jpg,Battery,train
ewaste-dataset\train\Battery\aug_53379_battery_21.jpg,Battery,train
ewaste-dataset\train\Battery\aug_53447_battery_123.jpg,Battery,train
ewaste-dataset\train\Battery\aug_53572_battery_101.jpg,Battery,train
ewaste-dataset\train\Battery\aug_53867_battery_89.jpg,Battery,train
ewaste-dataset\train\Battery\aug_54283_battery_168.jpg,Battery,train
ewaste-dataset\train\Battery\aug_54333_battery_235.jpg,Battery,train
ewaste-dataset\train\Battery\aug_55816_battery_187.jpg,Battery,train
ewaste-dataset\train\Battery\aug_56036_battery_227.jpg,Battery,train
ewaste-dataset\train\Battery\aug_56075_battery_45.jpg,Battery,train
ewaste-dataset\train\Battery\aug_56701_battery_222.jpg,Battery,train
ewaste-dataset\train\Battery\aug_57146_battery_274.jpg,Battery,train
ewaste-dataset\train\Battery\aug_57270_battery_137.jpg,Battery,train
ewaste-dataset\train\Battery\aug_57528_battery_69.jpg,Battery,train
ewaste-dataset\train\Battery\aug_57537_battery_53.jpg,Battery,train
ewaste-dataset\train\Battery\aug_58159_battery_93.jpg,Battery,train
ewaste-dataset\train\Battery\aug_58384_battery_98.jpg,Battery,train
ewaste-dataset\train\Battery\aug_58599_battery_255.jpg,Battery,train
ewaste-dataset\train\Battery\aug_58600_battery_149.jpg,Battery,train
ewaste-dataset\train\Battery\aug_59133_battery_29.jpg,Battery,train
ewaste-dataset\train\Battery\aug_59292_battery_225.jpg,Battery,train
ewaste-dataset\train\Battery\aug_59322_battery_240.jpg,Battery,train
ewaste-dataset\train\Battery\aug_59434_battery_175.jpg,Battery,train
ewaste-dataset\train\Battery\aug_59538_battery_240.jpg,Battery,train
ewaste-dataset\train\Battery\aug_60825_battery_269.jpg,Battery,train
ewaste-dataset\train\Battery\aug_60941_battery_236.jpg,Battery,train
ewaste-dataset\train\Battery\aug_61011_battery_143.jpg,Battery,train
ewaste-dataset\train\Battery\aug_61161_battery_42.jpg,Battery,train
ewaste-dataset\train\Battery\aug_61558_battery_273.jpg,Battery,train
ewaste-dataset\train\Battery\aug_61582_battery_109.jpg,Battery,train
ewaste-dataset\train\Battery\aug_63587_battery_220.jpg,Battery,train
ewaste-dataset\train\Battery\aug_63815_battery_69.jpg,Battery,train
ewaste-dataset\train\Battery\aug_64246_battery_244.jpg,Battery,train
ewaste-dataset\train\Battery\aug_65287_battery_71.jpg,Battery,train
ewaste-dataset\train\Battery\aug_65616_battery_76.jpg,Battery,train
ewaste-dataset\train\Battery\aug_66488_battery_6.jpg,Battery,train
ewaste-dataset\train\Battery\aug_66714_battery_57.jpg,Battery,train
ewaste-dataset\train\Battery\aug_67108_battery_187.jpg,Battery,train
ewaste-dataset\train\Battery\aug_67832_battery_199.jpg,Battery,train
ewaste-dataset\train\Battery\aug_67863_battery_240.jpg,Battery,train
ewaste-dataset\train\Battery\aug_68172_battery_104.jpg,Battery,train
ewaste-dataset\train\Battery\aug_68560_battery_203.jpg,Battery,train
ewaste-dataset\train\Battery\aug_69067_battery_113.jpg,Battery,train
ewaste-dataset\train\Battery\aug_69125_battery_269.jpg,Battery,train
ewaste-dataset\train\Battery\aug_69196_battery_5.jpg,Battery,train
ewaste-dataset\train\Battery\aug_69256_battery_45.jpg,Battery,train
ewaste-dataset\train\Battery\aug_69538_battery_136.jpg,Battery,train
ewaste-dataset\train\Battery\aug_69539_battery_213.jpg,Battery,train
ewaste-dataset\train\Battery\aug_69686_battery_236.jpg,Battery,train
ewaste-dataset\train\Battery\aug_69703_battery_175.jpg,Battery,train
ewaste-dataset\train\Battery\aug_70238_battery_256.jpg,Battery,train
ewaste-dataset\train\Battery\aug_70464_battery_143.jpg,Battery,train
ewaste-dataset\train\Battery\aug_70472_battery_167.jpg,Battery,train
ewaste-dataset\train\Battery\aug_70732_battery_82.jpg,Battery,train
ewaste-dataset\train\Battery\aug_71265_battery_90.jpg,Battery,train
ewaste-dataset\train\Battery\aug_71586_battery_98.jpg,Battery,train
ewaste-dataset\train\Battery\aug_71974_battery_157.jpg,Battery,train
ewaste-dataset\train\Battery\aug_72353_battery_154.jpg,Battery,train
ewaste-dataset\train\Battery\aug_72571_battery_162.jpg,Battery,train
ewaste-dataset\train\Battery\aug_73068_battery_213.jpg,Battery,train
ewaste-dataset\train\Battery\aug_73295_battery_168.jpg,Battery,train
ewaste-dataset\train\Battery\aug_73559_battery_64.jpg,Battery,train
ewaste-dataset\train\Battery\aug_73566_battery_46.jpg,Battery,train
ewaste-dataset\train\Battery\aug_73957_battery_70.jpg,Battery,train
ewaste-dataset\train\Battery\aug_74762_battery_276.jpg,Battery,train
ewaste-dataset\train\Battery\aug_74771_battery_19.jpg,Battery,train
ewaste-dataset\train\Battery\aug_75210_battery_31.jpg,Battery,train
ewaste-dataset\train\Battery\aug_75388_battery_276.jpg,Battery,train
ewaste-dataset\train\Battery\aug_76301_battery_45.jpg,Battery,train
ewaste-dataset\train\Battery\aug_76326_battery_205.jpg,Battery,train
ewaste-dataset\train\Battery\aug_76807_battery_153.jpg,Battery,train
ewaste-dataset\train\Battery\aug_77113_battery_51.jpg,Battery,train
ewaste-dataset\train\Battery\aug_77218_battery_176.jpg,Battery,train
ewaste-dataset\train\Battery\aug_77837_battery_245.jpg,Battery,train
ewaste-dataset\train\Battery\aug_78488_battery_248.jpg,Battery,train
ewaste-dataset\train\Battery\aug_78929_battery_184.jpg,Battery,train
ewaste-dataset\train\Battery\aug_79010_battery_39.jpg,Battery,train
ewaste-dataset\train\Battery\aug_79223_battery_175.jpg,Battery,train
ewaste-dataset\train\Battery\aug_80029_battery_222.jpg,Battery,train
ewaste-dataset\train\Battery\aug_80143_battery_60.jpg,Battery,train
ewaste-dataset\train\Battery\aug_80861_battery_160.jpg,Battery,train
ewaste-dataset\train\Battery\aug_81235_battery_253.jpg,Battery,train
ewaste-dataset\train\Battery\aug_81422_battery_206.jpg,Battery,train
ewaste-dataset\train\Battery\aug_81541_battery_41.jpg,Battery,train
ewaste-dataset\train\Battery\aug_82473_battery_227.jpg,Battery,train
ewaste-dataset\train\Battery\aug_82549_battery_139.jpg,Battery,train
ewaste-dataset\train\Battery\aug_82894_battery_96.jpg,Battery,train
ewaste-dataset\train\Battery\aug_83002_battery_47.jpg,Battery,train
ewaste-dataset\train\Battery\aug_83097_battery_240.jpg,Battery,train
ewaste-dataset\train\Battery\aug_83632_battery_110.jpg,Battery,train
ewaste-dataset\train\Battery\aug_83750_battery_227.jpg,Battery,train
ewaste-dataset\train\Battery\aug_84335_battery_101.jpg,Battery,train
ewaste-dataset\train\Battery\aug_84416_battery_254.jpg,Battery,train
ewaste-dataset\train\Battery\aug_84521_battery_243.jpg,Battery,train
ewaste-dataset\train\Battery\aug_84784_battery_85.jpg,Battery,train
ewaste-dataset\train\Battery\aug_84835_battery_110.jpg,Battery,train
ewaste-dataset\train\Battery\aug_84859_battery_35.jpg,Battery,train
ewaste-dataset\train\Battery\aug_85240_battery_183.jpg,Battery,train
ewaste-dataset\train\Battery\aug_85631_battery_135.jpg,Battery,train
ewaste-dataset\train\Battery\aug_85827_battery_278.jpg,Battery,train
ewaste-dataset\train\Battery\aug_86066_battery_133.jpg,Battery,train
ewaste-dataset\train\Battery\aug_86280_battery_155.jpg,Battery,train
ewaste-dataset\train\Battery\aug_86571_battery_160.jpg,Battery,train
ewaste-dataset\train\Battery\aug_87388_battery_254.jpg,Battery,train
ewaste-dataset\train\Battery\aug_87596_battery_50.jpg,Battery,train
ewaste-dataset\train\Battery\aug_87991_battery_49.jpg,Battery,train
ewaste-dataset\train\Battery\aug_88431_battery_28.jpg,Battery,train
ewaste-dataset\train\Battery\aug_88941_battery_94.jpg,Battery,train
ewaste-dataset\train\Battery\aug_89394_battery_28.jpg,Battery,train
ewaste-dataset\train\Battery\aug_89885_battery_208.jpg,Battery,train
ewaste-dataset\train\Battery\aug_90525_battery_196.jpg,Battery,train
ewaste-dataset\train\Battery\aug_90730_battery_67.jpg,Battery,train
ewaste-dataset\train\Battery\aug_90867_battery_145.jpg,Battery,train
ewaste-dataset\train\Battery\aug_91100_battery_55.jpg,Battery,train
ewaste-dataset\train\Battery\aug_91842_battery_116.jpg,Battery,train
ewaste-dataset\train\Battery\aug_92277_battery_121.jpg,Battery,train
ewaste-dataset\train\Battery\aug_92482_battery_249.jpg,Battery,train
ewaste-dataset\train\Battery\aug_92548_battery_274.jpg,Battery,train
ewaste-dataset\train\Battery\aug_92878_battery_156.jpg,Battery,train
ewaste-dataset\train\Battery\aug_93296_battery_120.jpg,Battery,train
ewaste-dataset\train\Battery\aug_93789_battery_159.jpg,Battery,train
ewaste-dataset\train\Battery\aug_94736_battery_54.jpg,Battery,train
ewaste-dataset\train\Battery\aug_95118_battery_276.jpg,Battery,train
ewaste-dataset\train\Battery\aug_95160_battery_68.jpg,Battery,train
ewaste-dataset\train\Battery\aug_95265_battery_208.jpg,Battery,train
ewaste-dataset\train\Battery\aug_95316_battery_77.jpg,Battery,train
ewaste-dataset\train\Battery\aug_95844_battery_188.jpg,Battery,train
ewaste-dataset\train\Battery\aug_96474_battery_215.jpg,Battery,train
ewaste-dataset\train\Battery\aug_96883_battery_36.jpg,Battery,train
ewaste-dataset\train\Battery\aug_97704_battery_53.jpg,Battery,train
ewaste-dataset\train\Battery\aug_97813_battery_278.jpg,Battery,train
ewaste-dataset\train\Battery\aug_98020_battery_285.jpg,Battery,train
ewaste-dataset\train\Battery\aug_98359_battery_123.jpg,Battery,train
ewaste-dataset\train\Battery\aug_99305_battery_20.jpg,Battery,train
ewaste-dataset\train\Battery\aug_99414_battery_171.jpg,Battery,train
ewaste-dataset\train\Battery\aug_99616_battery_262.jpg,Battery,train
ewaste-dataset\train\Battery\aug_99740_battery_250.jpg,Battery,train
ewaste-dataset\train\Battery\aug_99928_battery_79.jpg,Battery,train
ewaste-dataset\train\Battery\battery_0.jpg,Battery,train
ewaste-dataset\train\Battery\battery_1.jpg,Battery,train
ewaste-dataset\train\Battery\battery_10.jpg,Battery,train
ewaste-dataset\train\Battery\battery_100.jpg,Battery,train
ewaste-dataset\train\Battery\battery_101.jpg,Battery,train
ewaste-dataset\train\Battery\battery_102.jpg,Battery,train
ewaste-dataset\train\Battery\battery_104.jpg,Battery,train
ewaste-dataset\train\Battery\battery_107.jpg,Battery,train
ewaste-dataset\train\Battery\battery_109.jpg,Battery,train
ewaste-dataset\train\Battery\battery_11.jpg,Battery,train
ewaste-dataset\train\Battery\battery_110.jpg,Battery,train
ewaste-dataset\train\Battery\battery_111.jpg,Battery,train
ewaste-dataset\train\Battery\battery_112.jpg,Battery,train
ewaste-dataset\train\Battery\battery_113.jpg,Battery,train
ewaste-dataset\train\Battery\battery_114.jpg,Battery,train
ewaste-dataset\train\Battery\battery_115.jpg,Battery,train
ewaste-dataset\train\Battery\battery_116.jpg,Battery,train
ewaste-dataset\train\Battery\battery_117.jpg,Battery,train
ewaste-dataset\train\Battery\battery_119.jpg,Battery,train
ewaste-dataset\train\Battery\battery_12.jpg,Battery,train
ewaste-dataset\train\Battery\battery_120.jpg,Battery,train
ewaste-dataset\train\Battery\battery_121.jpg,Battery,train
ewaste-dataset\train\Battery\battery_123.jpg,Battery,train
ewaste-dataset\train\Battery\battery_124.jpg,Battery,train
ewaste-dataset\train\Battery\battery_126.jpg,Battery,train
ewaste-dataset\train\Battery\battery_127.jpg,Battery,train
ewaste-dataset\train\Battery\battery_13.jpg,Battery,train
ewaste-dataset\train\Battery\battery_131.jpg,Battery,train
ewaste-dataset\train\Battery\battery_132.jpg,Battery,train
ewaste-dataset\train\Battery\battery_133.jpg,Battery,train
ewaste-dataset\train\Battery\battery_134.jpg,Battery,train
ewaste-dataset\train\Battery\battery_135.jpg,Battery,train
ewaste-dataset\train\Battery\battery_136.jpg,Battery,train
ewaste-dataset\train\Battery\battery_137.jpg,Battery,train
ewaste-dataset\train\Battery\battery_138.jpg,Battery,train
ewaste-dataset\train\Battery\battery_139.jpg,Battery,train
ewaste-dataset\train\Battery\battery_14.jpg,Battery,train
ewaste-dataset\train\Battery\battery_140.jpg,Battery,train
ewaste-dataset\train\Battery\battery_141.jpg,Battery,train
ewaste-dataset\train\Battery\battery_142.jpg,Battery,train
ewaste-dataset\train\Battery\battery_143.jpg,Battery,train
ewaste-dataset\train\Battery\battery_144.jpg,Battery,train
ewaste-dataset\train\Battery\battery_145.jpg,Battery,train
ewaste-dataset\train\Battery\battery_149.jpg,Battery,train
ewaste-dataset\train\Battery\battery_15.jpg,Battery,train
ewaste-dataset\train\Battery\battery_151.jpg,Battery,train
ewaste-dataset\train\Battery\battery_153.jpg,Battery,train
ewaste-dataset\train\Battery\battery_154.jpg,Battery,train
ewaste-dataset\train\Battery\battery_155.jpg,Battery,train
ewaste-dataset\train\Battery\battery_156.jpg,Battery,train
ewaste-dataset\train\Battery\battery_157.jpg,Battery,train
ewaste-dataset\train\Battery\battery_158.jpg,Battery,train
ewaste-dataset\train\Battery\battery_159.jpg,Battery,train
ewaste-dataset\train\Battery\battery_16.jpg,Battery,train
ewaste-dataset\train\Battery\battery_160.jpg,Battery,train
ewaste-dataset\train\Battery\battery_161.jpg,Battery,train
ewaste-dataset\train\Battery\battery_162.jpg,Battery,train
ewaste-dataset\train\Battery\battery_163.jpg,Battery,train
ewaste-dataset\train\Battery\battery_164.jpg,Battery,train
ewaste-dataset\train\Battery\battery_165.jpg,Battery,train
ewaste-dataset\train\Battery\battery_166.jpg,Battery,train
ewaste-dataset\train\Battery\battery_167.jpg,Battery,train
ewaste-dataset\train\Battery\battery_168.jpg,Battery,train
ewaste-dataset\train\Battery\battery_17.jpg,Battery,train
ewaste-dataset\train\Battery\battery_170.jpg,Battery,train
ewaste-dataset\train\Battery\battery_171.jpg,Battery,train
ewaste-dataset\train\Battery\battery_172.jpg,Battery,train
ewaste-dataset\train\Battery\battery_173.jpg,Battery,train
ewaste-dataset\train\Battery\battery_175.jpg,Battery,train
ewaste-dataset\train\Battery\battery_176.jpg,Battery,train
ewaste-dataset\train\Battery\battery_178.jpg,Battery,train
ewaste-dataset\train\Battery\battery_179.jpg,Battery,train
ewaste-dataset\train\Battery\battery_18.jpg,Battery,train
ewaste-dataset\train\Battery\battery_180.jpg,Battery,train
ewaste-dataset\train\Battery\battery_181.jpg,Battery,train
ewaste-dataset\train\Battery\battery_182.jpg,Battery,train
ewaste-dataset\train\Battery\battery_183.jpg,Battery,train
ewaste-dataset\train\Battery\battery_184.jpg,Battery,train
ewaste-dataset\train\Battery\battery_185.jpg,Battery,train
ewaste-dataset\train\Battery\battery_186.jpg,Battery,train
ewaste-dataset\train\Battery\battery_187.jpg,Battery,train
ewaste-dataset\train\Battery\battery_188.jpg,Battery,train
ewaste-dataset\train\Battery\battery_19.jpg,Battery,train
ewaste-dataset\train\Battery\battery_191.jpg,Battery,train
ewaste-dataset\train\Battery\battery_193.jpg,Battery,train
ewaste-dataset\train\Battery\battery_194.jpg,Battery,train
ewaste-dataset\train\Battery\battery_195.jpg,Battery,train
ewaste-dataset\train\Battery\battery_196.jpg,Battery,train
ewaste-dataset\train\Battery\battery_197.jpg,Battery,train
ewaste-dataset\train\Battery\battery_199.jpg,Battery,train
ewaste-dataset\train\Battery\battery_2.jpg,Battery,train
ewaste-dataset\train\Battery\battery_20.jpg,Battery,train
ewaste-dataset\train\Battery\battery_200.jpg,Battery,train
ewaste-dataset\train\Battery\battery_201.jpg,Battery,train
ewaste-dataset\train\Battery\battery_202.jpg,Battery,train
ewaste-dataset\train\Battery\battery_203.jpg,Battery,train
ewaste-dataset\train\Battery\battery_204.jpg,Battery,train
ewaste-dataset\train\Battery\battery_205.jpg,Battery,train
ewaste-dataset\train\Battery\battery_206.jpg,Battery,train
ewaste-dataset\train\Battery\battery_207.jpg,Battery,train
ewaste-dataset\train\Battery\battery_208.jpg,Battery,train
ewaste-dataset\train\Battery\battery_209.jpg,Battery,train
ewaste-dataset\train\Battery\battery_21.jpg,Battery,train
ewaste-dataset\train\Battery\battery_210.jpg,Battery,train
ewaste-dataset\train\Battery\battery_212.jpg,Battery,train
ewaste-dataset\train\Battery\battery_213.jpg,Battery,train
ewaste-dataset\train\Battery\battery_214.jpg,Battery,train
ewaste-dataset\train\Battery\battery_215.jpg,Battery,train
ewaste-dataset\train\Battery\battery_216.jpg,Battery,train
ewaste-dataset\train\Battery\battery_217.jpg,Battery,train
ewaste-dataset\train\Battery\battery_218.jpg,Battery,train
ewaste-dataset\train\Battery\battery_219.jpg,Battery,train
ewaste-dataset\train\Battery\battery_220.jpg,Battery,train
ewaste-dataset\train\Battery\battery_221.jpg,Battery,train
ewaste-dataset\train\Battery\battery_222.jpg,Battery,train
ewaste-dataset\train\Battery\battery_223.jpg,Battery,train
ewaste-dataset\train\Battery\battery_225.jpg,Battery,train
ewaste-dataset\train\Battery\battery_227.jpg,Battery,train
ewaste-dataset\train\Battery\battery_228.jpg,Battery,train
ewaste-dataset\train\Battery\battery_230.jpg,Battery,train
ewaste-dataset\train\Battery\battery_231.jpg,Battery,train
ewaste-dataset\train\Battery\battery_232.jpg,Battery,train
ewaste-dataset\train\Battery\battery_233.jpg,Battery,train
ewaste-dataset\train\Battery\battery_234.jpg,Battery,train
ewaste-dataset\train\Battery\battery_235.jpg,Battery,train
ewaste-dataset\train\Battery\battery_236.jpg,Battery,train
ewaste-dataset\train\Battery\battery_237.jpg,Battery,train
ewaste-dataset\train\Battery\battery_238.jpg,Battery,train
ewaste-dataset\train\Battery\battery_240.jpg,Battery,train
ewaste-dataset\train\Battery\battery_243.jpg,Battery,train
ewaste-dataset\train\Battery\battery_244.jpg,Battery,train
ewaste-dataset\train\Battery\battery_245.jpg,Battery,train
ewaste-dataset\train\Battery\battery_246.jpg,Battery,train
ewaste-dataset\train\Battery\battery_248.jpg,Battery,train
ewaste-dataset\train\Battery\battery_249.jpg,Battery,train
ewaste-dataset\train\Battery\battery_25.jpg,Battery,train
ewaste-dataset\train\Battery\battery_250.jpg,Battery,train
ewaste-dataset\train\Battery\battery_252.jpg,Battery,train
ewaste-dataset\train\Battery\battery_253.jpg,Battery,train
ewaste-dataset\train\Battery\battery_254.jpg,Battery,train
ewaste-dataset\train\Battery\battery_255.jpg,Battery,train
ewaste-dataset\train\Battery\battery_256.jpg,Battery,train
ewaste-dataset\train\Battery\battery_257.jpg,Battery,train
ewaste-dataset\train\Battery\battery_258.jpg,Battery,train
ewaste-dataset\train\Battery\battery_26.jpg,Battery,train
ewaste-dataset\train\Battery\battery_261.jpg,Battery,train
ewaste-dataset\train\Battery\battery_262.jpg,Battery,train
ewaste-dataset\train\Battery\battery_263.jpg,Battery,train
ewaste-dataset\train\Battery\battery_268.jpg,Battery,train
ewaste-dataset\train\Battery\battery_269.jpg,Battery,train
ewaste-dataset\train\Battery\battery_27.jpg,Battery,train
ewaste-dataset\train\Battery\battery_270.jpg,Battery,train
